Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Dominican Republic,Americas,269958,2488.57,3397,31.31,774,3517,32.42,37,0.34,3,Community transmission
Costa Rica,Americas,263094,5164.66,14712,288.8,2559,3341,65.59,124,2.43,15,Community transmission
Ethiopia,Africa,261580,227.53,4138,3.6,778,3840,3.34,152,0.13,18,Community transmission
Denmark,Europe,257505,4422.39,6077,104.37,1023,2495,42.85,10,0.17,2,Community transmission
Lithuania,Europe,256906,9194.62,8251,295.3,1522,4024,144.02,87,3.11,5,Community transmission
Republic of Moldova,Europe,252413,6257.2,1576,39.07,260,5929,146.98,117,2.9,17,Community transmission
Ireland,Europe,251474,5065.51,2604,52.45,0,4921,99.12,18,0.36,0,Community transmission
Slovenia,Europe,245159,11697.29,4796,228.83,606,4600,219.48,17,0.81,0,Clusters of cases
Egypt,Eastern Mediterranean,235140,229.78,7588,7.41,1125,13779,13.46,440,0.43,65,Clusters of cases
Guatemala,Americas,232439,1297.41,4768,26.61,0,7677,42.85,153,0.85,0,Community transmission
Armenia,Europe,219092,7393.68,2496,84.23,411,4225,142.58,97,3.27,16,Community transmission
Honduras,Americas,217595,2196.91,6519,65.82,631,5502,55.55,241,2.43,63,Community transmission
Uruguay,Americas,213449,6144.66,17715,509.97,3582,2972,85.56,409,11.77,54,Community transmission
Qatar,Eastern Mediterranean,210070,7291.43,4418,153.35,600,496,17.22,38,1.32,3,Community transmission
Venezuela (Bolivarian Republic of),Americas,204057,717.6,7671,26.98,1299,2244,7.89,127,0.45,18,Community transmission
Bosnia and Herzegovina,Europe,200693,6117.17,2232,68.03,340,8790,267.92,239,7.28,28,Community transmission
Oman,Eastern Mediterranean,199344,3903.63,6091,119.28,0,2083,40.79,73,1.43,0,Community transmission
Bahrain,Eastern Mediterranean,186403,10954.73,9469,556.48,1706,674,39.61,28,1.65,4,Community transmission
Libya,Eastern Mediterranean,179697,2615.19,2189,31.86,504,3063,44.58,34,0.49,4,Community transmission
Nigeria,Africa,165352,80.21,242,0.12,39,2065,1,2,0,0,Community transmission
Kenya,Africa,162666,302.51,3348,6.23,568,2865,5.33,141,0.26,15,Community transmission
North Macedonia,Europe,153694,7377.15,1327,63.69,233,5067,243.21,212,10.18,25,Clusters of cases
Myanmar,South-East Asia,142934,262.7,117,0.22,31,3210,5.9,1,0,0,Clusters of cases
Puerto Rico,Americas,134368,4696.78,2931,102.45,522,2355,82.32,52,1.82,7,Community transmission
Albania,Europe,131577,4572.14,492,17.1,67,2408,83.68,14,0.49,2,Clusters of cases
Republic of Korea,Western Pacific,126745,247.21,4111,8.02,701,1865,3.64,34,0.07,5,Clusters of cases
Estonia,Europe,124901,9398.29,2451,184.43,372,1195,89.92,29,2.18,2,Clusters of cases
Algeria,Africa,123692,282.07,1584,3.61,219,3315,7.56,62,0.14,8,Community transmission
Latvia,Europe,122545,6423.79,3987,209,1036,2197,115.17,66,3.46,19,Community transmission
Sri Lanka,South-East Asia,121338,566.65,13192,61.61,1914,745,3.48,78,0.36,0,Clusters of cases
Norway,Europe,115410,2150.13,2870,53.47,505,767,14.29,11,0.2,0,Clusters of cases
Cuba,Americas,113876,1005.38,7169,63.29,1162,713,6.29,69,0.61,12,Community transmission
Kosovo[1],Europe,106149,5911.4,1004,55.91,170,2192,122.07,29,1.61,4,Community transmission
China,Western Pacific,103774,7.05,152,0.01,15,4858,0.33,1,0,0,Clusters of cases
Montenegro,Europe,98136,15625.21,523,83.27,0,1527,243.13,24,3.82,0,Clusters of cases
Kyrgyzstan,Europe,98079,1503.31,2327,35.67,416,1649,25.28,37,0.57,6,Clusters of cases
Uzbekistan,Europe,93978,280.79,2728,8.15,381,662,1.98,12,0.04,2,Clusters of cases
Ghana,Africa,92856,298.83,294,0.95,28,783,2.52,4,0.01,0,Community transmission
Zambia,Africa,92004,500.46,418,2.27,58,1256,6.83,5,0.03,0,Community transmission
Finland,Europe,88332,1598.68,1524,27.58,254,922,16.69,8,0.14,3,Community transmission
Thailand,South-East Asia,81274,116.44,14230,20.39,2419,382,0.55,158,0.23,19,Clusters of cases
Cameroon,Africa,74733,281.52,4126,15.54,0,1144,4.31,80,0.3,0,Community transmission
El Salvador,Americas,70255,1083.14,1057,16.3,258,2146,33.09,22,0.34,3,Community transmission
Mozambique,Africa,70138,224.4,221,0.71,30,820,2.62,6,0.02,1,Community transmission
Cyprus,Europe,68776,7745,2867,322.86,334,332,37.39,20,2.25,4,Clusters of cases
Luxembourg,Europe,68153,10885.18,948,151.41,133,801,127.93,5,0.8,0,Community transmission
Afghanistan,Eastern Mediterranean,61755,158.64,1816,4.66,300,2683,6.89,52,0.13,10,Community transmission
Singapore,Western Pacific,61331,1048.33,186,3.18,45,31,0.53,1,0.02,0,Sporadic cases
Namibia,Africa,49552,1950.17,898,35.34,92,682,26.84,39,1.53,8,Community transmission
Botswana,Africa,48417,2058.87,1483,63.06,0,734,31.21,22,0.94,0,Community transmission
Jamaica,Americas,46428,1567.9,850,28.7,90,801,27.05,23,0.78,3,Community transmission
Côte d’Ivoire,Africa,46344,175.69,346,1.31,113,291,1.1,5,0.02,0,Community transmission
Mongolia,Western Pacific,43201,1317.79,7222,220.3,737,153,4.67,43,1.31,11,Clusters of cases
Uganda,Africa,42224,92.31,317,0.69,72,346,0.76,3,0.01,1,Community transmission
Senegal,Africa,40621,242.6,277,1.65,43,1116,6.67,9,0.05,0,Community transmission
Madagascar,Africa,38641,139.54,1627,5.88,304,701,2.53,58,0.21,6,Community transmission
Zimbabwe,Africa,38403,258.38,146,0.98,5,1576,10.6,9,0.06,1,Community transmission
Sudan,Eastern Mediterranean,34461,78.59,465,1.06,0,2365,5.39,4,0.01,0,Clusters of cases
Malawi,Africa,34158,178.56,80,0.42,7,1152,6.02,4,0.02,0,Community transmission
Maldives,South-East Asia,34134,6314.75,4299,795.31,766,82,15.17,9,1.66,5,Clusters of cases
Malta,Europe,30432,5914.13,140,27.21,12,417,81.04,4,0.78,1,Clusters of cases
Democratic Republic of the Congo,Africa,30240,33.76,387,0.43,39,772,0.86,6,0.01,2,Community transmission
Australia,Western Pacific,29897,117.24,96,0.38,11,910,3.57,0,0,0,Clusters of cases
Angola,Africa,28201,85.81,1549,4.71,280,628,1.91,32,0.1,6,Community transmission
Cabo Verde,Africa,25837,4647.05,1955,351.63,311,231,41.55,14,2.52,1,Community transmission
Rwanda,Africa,25539,197.18,423,3.27,53,338,2.61,3,0.02,0,Community transmission
Gabon,Africa,23432,1052.78,357,16.04,231,143,6.42,4,0.18,3,Community transmission
Syrian Arab Republic,Eastern Mediterranean,23256,132.89,523,2.99,65,1639,9.37,47,0.27,8,Community transmission
Guinea,Africa,22553,171.73,338,2.57,0,149,1.13,5,0.04,0,Community transmission
Réunion,Africa,21451,2395.92,1070,119.51,0,150,16.75,2,0.22,0,Community transmission
French Guiana,Americas,20366,6818.62,962,322.08,140,104,34.82,4,1.34,0,Community transmission
Mayotte,Africa,20134,7380.09,40,14.66,0,170,62.31,0,0,0,Community transmission
French Polynesia,Western Pacific,18790,6689.02,32,11.39,14,141,50.19,0,0,0,Sporadic cases
Mauritania,Africa,18613,400.31,211,4.54,37,456,9.81,1,0.02,0,Community transmission
Eswatini,Africa,18474,1592.36,16,1.38,1,671,57.84,0,0,0,Community transmission
Cambodia,Western Pacific,18179,108.73,4389,26.25,0,114,0.68,18,0.11,0,Sporadic cases
Guadeloupe,Americas,15429,3856.05,1659,414.62,795,236,58.98,25,6.25,8,Community transmission
Somalia,Eastern Mediterranean,14368,90.4,453,2.85,0,745,4.69,32,0.2,0,Community transmission
Mali,Africa,14059,69.42,201,0.99,30,497,2.45,13,0.06,4,Community transmission
Guyana,Americas,13957,1774.45,851,108.19,128,310,39.41,15,1.91,2,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Andorra,Europe,13390,17329.97,158,204.49,27,127,164.37,2,2.59,0,Community transmission
Burkina Faso,Africa,13353,63.88,43,0.21,8,162,0.77,5,0.02,1,Community transmission
Haiti,Americas,13164,115.45,108,0.95,0,263,2.31,9,0.08,0,Community transmission
Togo,Africa,13106,158.31,139,1.68,16,124,1.5,1,0.01,0,Community transmission
Belize,Americas,12682,3189.41,36,9.05,2,323,81.23,0,0,0,Community transmission
Trinidad and Tobago,Americas,12396,885.75,1898,135.62,291,191,13.65,26,1.86,2,Community transmission
Curaçao,Americas,12222,7448.22,41,24.99,4,113,68.86,5,3.05,0,Community transmission
Papua New Guinea,Western Pacific,11630,129.99,424,4.74,0,121,1.35,6,0.07,0,Community transmission
Martinique,Americas,11490,3061.84,999,266.21,351,87,23.18,17,4.53,8,Community transmission
Djibouti,Eastern Mediterranean,11319,1145.65,219,22.17,12,148,14.98,5,0.51,0,Community transmission
Congo,Africa,11147,202.01,469,8.5,0,148,2.68,4,0.07,0,Community transmission
Suriname,Americas,10816,1843.75,530,90.35,120,213,36.31,12,2.05,1,Clusters of cases
Bahamas,Americas,10773,2739.52,320,81.37,62,212,53.91,13,3.31,1,Clusters of cases
Lesotho,Africa,10761,502.32,30,1.4,12,319,14.89,3,0.14,0,Community transmission
Aruba,Americas,10737,10056.57,129,120.82,16,100,93.66,2,1.87,0,Community transmission
South Sudan,Africa,10637,95.03,54,0.48,17,116,1.04,1,0.01,0,Community transmission
Benin,Africa,7884,65.03,63,0.52,0,100,0.82,1,0.01,0,Community transmission
Guam,Western Pacific,7802,4622.72,56,33.18,3,139,82.36,3,1.78,0,Clusters of cases
Equatorial Guinea,Africa,7694,548.4,0,0,0,112,7.98,0,0,0,Community transmission
Seychelles,Africa,6811,6925.48,1106,1124.59,0,28,28.47,1,1.02,0,Community transmission
Central African Republic,Africa,6674,138.18,263,5.45,0,93,1.93,5,0.1,0,Community transmission
Iceland,Europe,6506,1786.7,34,9.34,6,29,7.96,0,0,0,Community transmission
Yemen,Eastern Mediterranean,6450,21.63,129,0.43,20,1270,4.26,43,0.14,4,Community transmission
Gambia,Africa,5925,245.17,27,1.12,0,175,7.24,1,0.04,0,Community transmission
Nicaragua,Americas,5575,84.16,77,1.16,0,183,2.76,1,0.02,0,Community transmission
Niger,Africa,5310,21.94,82,0.34,1,192,0.79,1,0,0,Community transmission
San Marino,Europe,5079,14965.53,13,38.31,0,90,265.19,0,0,0,Community transmission
Chad,Africa,4862,29.6,45,0.27,8,170,1.03,0,0,0,Community transmission
Saint Lucia,Americas,4607,2508.89,73,39.75,5,75,40.84,1,0.54,0,Community transmission
Gibraltar,Europe,4286,12721.5,3,8.9,0,94,279.01,0,0,0,Clusters of cases
Burundi,Africa,4149,34.89,131,1.1,17,6,0.05,0,0,0,Community transmission
Sierra Leone,Africa,4068,51,14,0.18,0,79,0.99,0,0,0,Community transmission
Barbados,Americas,3929,1367.2,74,25.75,14,45,15.66,1,0.35,0,Community transmission
Comoros,Africa,3922,451.01,14,1.61,0,146,16.79,0,0,0,Community transmission
Eritrea,Africa,3742,105.51,71,2,8,12,0.34,2,0.06,0,Community transmission
Guinea-Bissau,Africa,3739,189.99,5,0.25,1,67,3.4,0,0,0,Community transmission
Jersey,Europe,3234,3000.11,0,0,0,69,64.01,0,0,0,Community transmission
United States Virgin Islands,Americas,3210,3073.98,94,90.02,32,27,25.86,0,0,0,Community transmission
Viet Nam,Western Pacific,3152,3.24,224,0.23,61,35,0.04,0,0,0,Clusters of cases
Liechtenstein,Europe,3056,7887.06,26,67.1,0,57,147.11,1,2.58,0,Sporadic cases
Timor-Leste,South-East Asia,2965,224.89,689,52.26,95,4,0.3,1,0.08,0,Clusters of cases
Monaco,Europe,2477,6311.79,23,58.61,2,32,81.54,0,0,0,Sporadic cases
Bermuda,Americas,2432,3905.38,50,80.29,3,30,48.17,3,4.82,0,Community transmission
Turks and Caicos Islands,Americas,2402,6203.83,14,36.16,2,17,43.91,0,0,0,Clusters of cases
Sao Tome and Principe,Africa,2317,1057.22,15,6.84,0,35,15.97,0,0,0,Community transmission
New Zealand,Western Pacific,2284,47.36,27,0.56,6,26,0.54,0,0,0,Sporadic cases
Sint Maarten,Americas,2250,5246.96,20,46.64,3,27,62.96,0,0,0,Community transmission
Liberia,Africa,2113,41.78,14,0.28,0,85,1.68,0,0,0,Community transmission
Saint Vincent and the Grenadines,Americas,1895,1708.13,31,27.94,6,12,10.82,1,0.9,0,Community transmission
Saint Martin,Americas,1777,4596.6,49,126.75,28,14,36.21,1,2.59,0,Community transmission
Isle of Man,Europe,1590,1869.88,3,3.53,0,29,34.1,0,0,0,No cases
Bonaire,Americas,1547,7396.61,16,76.5,6,16,76.5,0,0,0,Community transmission
Mauritius,Africa,1241,97.58,35,2.75,0,17,1.34,1,0.08,0,Clusters of cases
Antigua and Barbuda,Americas,1232,1258.05,0,0,0,32,32.68,0,0,0,Clusters of cases
Lao People's Democratic Republic,Western Pacific,1205,16.56,448,6.16,28,0,0,0,0,0,Sporadic cases
Bhutan,South-East Asia,1190,154.22,116,15.03,29,1,0.13,0,0,0,Clusters of cases
Saint Barthélemy,Americas,994,10055.64,18,182.09,6,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,822,1275.05,0,0,0,14,21.72,0,0,0,Community transmission
Other,Other,746,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,668,1367.03,4,8.19,0,1,2.05,0,0,0,Sporadic cases
Cayman Islands,Americas,545,829.28,3,4.56,0,2,3.04,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,454,4036.99,1,8.89,0,7,62.24,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,230,52.57,5,1.14,1,3,0.69,0,0,0,Clusters of cases
British Virgin Islands,Americas,216,714.36,22,72.76,0,1,3.31,0,0,0,Clusters of cases
Dominica,Americas,174,241.7,0,0,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,169,293.62,1,1.74,1,2,3.47,0,0,0,Pending
Grenada,Americas,161,143.08,0,0,0,1,0.89,0,0,0,Sporadic cases
Fiji,Western Pacific,136,15.17,19,2.12,7,3,0.33,1,0.11,0,Sporadic cases
New Caledonia,Western Pacific,124,43.43,0,0,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,95,633.25,2,13.33,0,0,0,0,0,0,Clusters of cases
Falkland Islands (Malvinas),Americas,63,1808.79,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,45,84.6,1,1.88,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,25,431.41,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,7,362.13,1,51.73,0,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
